TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
59,"(23.39796050447638, 29.78318646600739)","(25.94736188040131, 75.47337215163893)","[(58.44521499350105, 67.23271905407911), (40.80940638087265, 75.29857553218552), (7.019235486990583, 76.38671046979591), (2.977340914322995, 73.21341184455221), (16.794536884693272, 96.89202210046129), (16.76156833887178, 104.38568531048084), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (84.76698646973118, 36.8322091491734), (47.52584928056709, 36.8343251304858), (20.35769414306946, 39.45116093604373), (16.852292437413453, 89.39101969092783), (7.1283026801812595, 30.291389316671037)]"
60,"(20.891472786392118, 29.16866463711571)","(24.24308693637211, 77.47594247148477)","[(67.0534066555863, 63.295704312793376), (49.690902534897354, 71.23656313101212), (7.027575975734964, 76.38665509725652), (2.977340914322995, 73.21341184455221), (16.794536884693272, 96.89202210046129), (16.76156833887178, 104.38568531048084), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (59.66394176340344, 36.896026814950936), (27.37397277492603, 36.95805305541808), (16.863943334816415, 87.2137595576173), (7.1283026801812595, 30.291389316671037)]"
61,"(24.61299370798806, 29.191936163001166)","(26.90579823563825, 76.55230977086642)","[(71.48437156000989, 61.073488702473206), (58.48464670940574, 67.21468469182453), (7.028655363715348, 76.38664793119524), (2.977340914322995, 73.21341184455221), (16.807358960291253, 95.22675503217341), (16.76156833887178, 104.38568531048084), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (72.50853268558417, 36.88499674920084), (35.89293019508495, 36.775191398901875), (16.877031340426285, 83.30979445570188), (7.1283026801812595, 30.291389316671037)]"
62,"(27.85261225223279, 30.458351308964776)","(27.46650830373691, 71.92340969459659)","[(73.09261777539278, 55.70037885679119), (63.786018571455145, 64.79006637601091), (7.0288981601023774, 76.38664631926902), (5.0588829749869175, 73.19959247817437), (16.834409762285638, 91.71353212315263), (16.76644369620301, 102.98227887870561), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (85.84798566613743, 36.82224769336482), (46.885595742747924, 36.83107052340284), (16.896970938804902, 77.36209711076626), (9.69511543991429, 30.41892219439162), (-1.1864607911172795, 30.302921582234557)]"
63,"(24.72447372540148, 29.69375971626737)","(24.9057391618094, 72.91195982370235)","[(73.12412588440175, 51.231478729018015), (68.75892459422161, 62.515674135780806), (7.0288981601023774, 76.38664631926902), (6.619827282340819, 73.1892293624409), (16.866156698529203, 86.55354478157498), (16.777863461466534, 99.69501787784748), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.533153755526778, 112.54833376701018), (59.471887073606666, 36.89505054146426), (16.92169147514332, 69.98831427153556), (13.961379884715726, 30.770344306813485), (0.41890867954681, 30.300694994896606)]"
64,"(26.279912829562047, 29.229935097568028)","(27.069300793037847, 71.0558510138001)","[(73.13255002703431, 50.03665449896602), (72.04086117879967, 60.46280074609582), (7.0288981601023774, 76.38664631926902), (6.917242349637886, 73.18725482257503), (16.891903465385703, 78.8736520392358), (16.813119061120847, 94.4786619369301), (16.759736553443073, 104.91297783031607), (16.732561660564272, 112.73546485185646), (13.533157548479116, 112.54724248043736), (72.03580004118294, 36.887032440014046), (16.93, 60.817201973536775), (19.401777882628522, 32.104305837091204), (3.6833023811132692, 30.29616740307751)]"
65,"(27.82711771290258, 29.280968006292476)","(26.934615826963096, 66.30512200460555)","[(73.13275857751067, 50.00707508973642), (73.02312939500833, 57.93864588382316), (7.0288981601023774, 76.38664631926902), (6.917242349637886, 73.18725482257503), (16.920884966693123, 70.22888422067996), (16.84766430117031, 89.99209888550578), (16.766869912206484, 102.85958955770535), (16.733276107525683, 112.52980619082173), (13.541424780028105, 110.16864186048498), (83.75647287263993, 36.836560643132174), (16.93, 54.05266876607471), (27.135474463516786, 33.3750174975781), (9.536986482560945, 30.40589674485675), (-1.1864607911172795, 30.302921582234557)]"
66,"(29.446086548955787, 28.59568357798804)","(29.16609174144326, 65.16875766685999)","[(73.13292715762923, 49.98316480958885), (73.05846272918089, 57.65990513646191), (7.0288981601023774, 76.38664631926902), (6.917242349637886, 73.18725482257503), (16.93, 63.330925484108825), (16.850074443676586, 89.6790816275031), (16.780215394196755, 98.75202567869648), (16.739445037427792, 110.75403565471456), (13.542933763756286, 109.73448568497706), (95.57140484312212, 36.689534965744464), (16.93, 50.642790762231684), (36.69977404826335, 33.5791911699714), (17.738936267323492, 31.682850893132073), (0.40497018588889766, 30.30071432706534)]"
67,"(23.731053251066754, 27.57628705100833)","(25.92886449971261, 66.53366635006506)","[(73.13293561807222, 49.98196483675675), (73.07341379811197, 57.54195781489449), (7.0288981601023774, 76.38664631926902), (6.917242349637886, 73.18725482257503), (16.93, 59.04337227639188), (16.852275703537437, 89.39319300307537), (16.792077670761344, 97.21141250987067), (16.750608660899985, 107.54050689807568), (13.551458683765187, 107.28174441384468), (16.93, 50.10103798201065), (48.84654649125428, 33.640936977363054), (26.645025148589806, 33.33138609229629), (3.6247562115314222, 30.296248604422285)]"
68,"(24.65414832157633, 27.235441395496657)","(28.064593248661236, 66.20251855756382)","[(73.13293929449549, 49.98144339739126), (73.07833411263655, 57.50314200031157), (9.132450335110118, 76.37630758260967), (6.917242349637886, 73.18725482257503), (16.93, 57.84933903346372), (16.852285715077407, 89.39189275432174), (16.794035263022803, 96.95717021491346), (16.760189303246054, 104.78265056560015), (13.551458683765187, 107.28174441384468), (16.93, 49.747725842428956), (60.68730996660807, 33.70112724637078), (37.11756716676128, 33.58131494182482), (6.955900042235222, 30.291628432673736)]"
69,"(26.49651976105912, 26.200339719853353)","(28.339442582959286, 66.64521304646163)","[(73.13294178088124, 49.98109074501074), (73.0797112373393, 57.492278016545484), (13.293846743817967, 76.36236989128865), (8.682121254566187, 73.1777510283069), (1.0600000000000005, 73.22614107883818), (16.93, 57.42682914348363), (16.852292245781268, 89.39104457915765), (16.79448826254539, 96.89833690191753), (16.761323671437456, 104.45611457907573), (13.551458683765187, 107.28174441384468), (16.93, 49.71658082095715), (72.62969145769519, 33.68444204362974), (49.9949218186747, 33.64677452491843), (7.059399004926111, 30.291484883488312)]"
70,"(28.740847319605578, 25.497283951980705)","(28.586852564823705, 67.12084874692695)","[(73.13294178088124, 49.98109074501074), (73.08004498318006, 57.483619885627625), (19.734522360619458, 76.34079825046682), (8.682121254566187, 73.1777510283069), (1.200695590588147, 76.42533978031145), (1.0600000000000005, 73.22614107883818), (16.93, 57.277638268661725), (16.852292245781268, 89.39104457915765), (16.794517574580897, 96.89453000130622), (16.761505379689844, 104.4038085607091), (13.551458683765187, 107.28174441384468), (17.132931024196367, 47.2923410140648), (84.17179465183904, 33.63457217865264), (62.608920657729215, 33.710895388827765), (7.109042284938643, 30.291416030117976)]"
71,"(31.120349165859544, 25.886900704695208)","(30.825314496722633, 66.91538495542139)","[(73.13294178088124, 49.98109074501074), (73.08005345399498, 57.48241844171107), (27.72904697021216, 76.31402233072178), (11.08157141956038, 76.36977942586749), (1.200695590588147, 76.42533978031145), (1.1396529799487505, 73.22561226237379), (16.93, 55.32750415585223), (16.852292245781268, 89.39104457915765), (16.7945343198177, 96.89235521367637), (16.761548913830705, 104.39127694730456), (13.551458683765187, 107.28174441384468), (17.83887778867944, 43.18637535064253), (95.39143086792063, 33.491308950847305), (73.77219391773716, 33.67950564317828), (7.123418518121762, 30.29139609082091)]"
72,"(27.722370542885646, 25.669611957630043)","(28.64011386704566, 68.69527602029515)","[(73.13294178088124, 49.98109074501074), (73.08005500310122, 57.48219872681018), (36.9741421676171, 76.31), (15.982850042537065, 76.35336366014461), (2.8767166847240127, 76.41421266931303), (3.586409950181297, 73.2093682326959), (16.93, 51.585832753185805), (16.852292245781268, 89.39104457915765), (16.79453587261198, 96.89215354451926), (16.761567093370065, 104.38604383704549), (13.551458683765187, 107.28174441384468), (21.907653763551227, 38.52778073660778), (85.40284942031967, 33.62764081773904), (7.128121430197923, 30.291389568057976)]"
73,"(23.45686097258108, 25.080767089392133)","(26.382433133752254, 70.60928187524273)","[(73.13294178088124, 49.98109074501074), (73.08005500310122, 57.48219872681018), (46.21297928867411, 72.82721487611096), (23.33576207642665, 76.32873668204067), (2.8767166847240127, 76.41421266931303), (6.910258484856226, 73.1873011884823), (17.215291975393214, 46.71697436908403), (16.852292245781268, 89.39104457915765), (16.79453587261198, 96.89215354451926), (16.761567790045927, 104.3858432939229), (13.551458683765187, 107.28174441384468), (29.11949601705541, 36.74075993456849), (7.128274835462876, 30.29138935529062)]"
74,"(24.439927122737544, 25.640690559585)","(28.895315738696624, 69.73722665084506)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (56.87109741573043, 67.95265238636027), (32.509922845256725, 76.31), (3.422787441621165, 76.41058730329213), (6.996442395493744, 73.18672901314196), (19.62175727448199, 40.22805761977546), (16.852292245781268, 89.39104457915765), (16.79453587261198, 96.89215354451926), (16.761567790045927, 104.3858432939229), (13.551458683765187, 107.28174441384468), (38.915970292840726, 36.790558448255055), (7.128274835462876, 30.29138935529062)]"
75,"(25.623013607639624, 25.966023537484965)","(31.81333014216165, 69.12060280053498)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (64.33756517446199, 64.53781280269561), (41.63488397310766, 74.92103776620564), (5.301301550957756, 76.39811584032559), (7.006523704207646, 73.18666208329158), (27.298110643372244, 36.968417521209105), (16.852292245781268, 89.39104457915765), (16.79453587261198, 96.89215354451926), (16.761567790045927, 104.3858432939229), (13.551458683765187, 107.28174441384468), (50.693779864362824, 36.85042870306652), (7.128274835462876, 30.29138935529062)]"
76,"(27.199625453683193, 25.847053472167993)","(34.561148988678966, 68.5226835078812)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (67.793123001221, 62.95739003362125), (51.3435470806013, 70.48071495825364), (6.824535770072201, 76.38800308202441), (7.008972581376786, 73.18664582518589), (35.269094978057595, 36.77202025122989), (16.862048293337125, 87.77902335886863), (16.79453587261198, 96.89215354451926), (16.761567790045927, 104.3858432939229), (13.551458683765187, 107.28174441384468), (63.74478045631044, 36.91677098226874), (7.128274835462876, 30.29138935529062)]"
77,"(28.914129353030443, 25.4776528192917)","(36.78429371520689, 67.88203644000941)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.25358875349191, 62.74679290408329), (57.15602154900094, 67.82234040483519), (6.9380199048755, 76.38724966038257), (7.008972581376786, 73.18664582518589), (45.80995244238079, 36.82560269527333), (16.87523167203739, 83.84660982656084), (16.806350053878873, 95.35778675248139), (16.761567790045927, 104.3858432939229), (13.551458683765187, 107.28174441384468), (75.69338252140929, 36.87128208483604), (7.128274835462876, 30.29138935529062)]"
78,"(31.725505979029624, 25.69125071758418)","(36.348421064180556, 64.2850882073739)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.4089141930234, 62.6757537626309), (61.09057409480606, 66.02284615781168), (7.018748287796555, 76.38671370431338), (7.008972581376786, 73.18664582518589), (58.58303895671315, 36.89053225112139), (16.89559617134358, 77.77217060494296), (16.832812575207775, 91.92096679489039), (16.76664943956208, 102.92305418320124), (13.551458683765187, 107.28174441384468), (88.49005270958332, 36.78618672370905), (9.204540486503028, 30.37851239592282), (-1.1864607911172795, 30.302921582234557)]"
79,"(29.77113980479231, 24.35973030497467)","(33.82950883723672, 65.06375928213838)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.4353293811764, 62.663672597476285), (61.46026287947639, 65.85376648904156), (7.0273132897181405, 76.38665684123008), (7.008972581376786, 73.18664582518589), (71.07998954783706, 36.891148370368164), (16.924467129660417, 69.16037618129258), (16.867967945559222, 86.01327566747774), (16.777088693448192, 99.91804038598448), (13.551458683765187, 107.28174441384468), (13.237851882560204, 30.7107456245931), (1.1999153595353373, 30.29961176787859)]"
80,"(29.78235989770571, 25.812856194861727)","(34.20090586706927, 66.83929445166413)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.43981731548004, 62.66162001033547), (61.57418923704379, 65.80166149803173), (7.028891701558729, 76.38664636214732), (7.008972581376786, 73.18664582518589), (83.27972292392747, 36.838613633341936), (16.93, 58.58468911112724), (16.893923343031744, 78.27115139281688), (16.807961779328355, 95.1484639097297), (16.759432122709526, 105.00061039147253), (13.52772591857001, 114.11), (19.003743583040627, 32.00297141678328), (5.3453041229385265, 30.293862268900224)]"
81,"(30.551693914480673, 27.666178622506195)","(32.512779497949396, 65.94558782906607)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.4400385387153, 62.66151883239095), (61.60008500700325, 65.78981789230482), (7.028891701558729, 76.38664636214732), (7.008972581376786, 73.18664582518589), (96.06244450014209, 36.682832877614075), (16.93, 52.42242285009413), (16.9253506182085, 68.8968441686644), (16.861145642078768, 88.0482713342188), (16.768001135692188, 102.53395879717786), (16.732279033161234, 112.81682116858748), (13.52772591857001, 114.11), (26.45070837799768, 33.31409926262253), (10.842292193839006, 30.513417808388713), (-1.1864607911172795, 30.302921582234557)]"
82,"(25.952561792276782, 26.33226008754025)","(29.53418235564668, 66.32860415959053)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.4400385387153, 62.66151883239095), (61.612406109833806, 65.78418275250114), (7.028891701558729, 76.38664636214732), (7.008972581376786, 73.18664582518589), (16.93, 50.05774343012739), (16.93, 62.469217754698825), (16.891123506249738, 79.10630270722062), (16.781688716022074, 98.56067800663304), (16.738569585352778, 111.00604078773618), (13.532630049315047, 112.69901152564212), (36.45304122317133, 33.577936950583755), (17.68695581523982, 31.669736558890783), (0.7654199979007164, 30.3002143966742)]"
83,"(25.81313337313583, 25.072757408548153)","(31.200797582765723, 65.02116887330018)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.44014932723914, 62.66146816250944), (61.61795475149875, 65.78164504366676), (7.028891701558729, 76.38664636214732), (7.008972581376786, 73.18664582518589), (16.93, 49.81315047513882), (16.93, 58.19161965467339), (16.914218791327336, 72.21730910121693), (16.825694922011916, 92.8453720037025), (16.753209120348128, 106.79194607121747), (13.532630049315047, 112.69901152564212), (48.0844081058774, 33.6370627918401), (26.831679924306325, 33.34799129474883), (4.901156956662171, 30.29447828438743)]"
84,"(25.97910031146624, 26.236120609698343)","(31.937617412998662, 67.10227054998899)","[(73.13294178088124, 49.98109074501074), (73.08005572908286, 57.48209575841496), (68.44014932723914, 62.66146816250944), (61.618330946117894, 65.78147298851053), (7.028891701558729, 76.38664636214732), (7.008972581376786, 73.18664582518589), (16.93, 49.752161423709396), (16.93, 57.75278780196768), (16.93, 67.07727585870526), (16.849641007054085, 89.73537420885079), (16.7736082821974, 100.91990162460554), (16.737805494568452, 111.22598977779569), (13.52772591857001, 114.11), (61.86163661141431, 33.70709671251213), (37.65653409356259, 33.58405467768544), (6.495585134355108, 30.292266872213098)]"
