TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
47,"(24.006112993986175, 31.147369839492356)","(28.44838529869605, 62.304032167407435)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (76.12561139265345, 36.86942081218474), (60.88958374710295, 36.90225713285734), (16.79449382273431, 96.89761477238149), (16.761508914849546, 104.40279093973827), (13.559230493356326, 105.04568376862272), (16.73162307631743, 113.00564303148292), (13.532846161482986, 112.63683296760915), (75.61326562005046, 33.67155094067189), (60.614557015904545, 33.70075742058353), (49.52501577292733, 36.84448751310723), (49.214443984065504, 33.64280711429347), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.90250973727712), (16.852287465706, 89.39166539143332), (28.165150561114647, 33.46661965453079), (10.946600742451151, 30.522009945836174), (-1.1864607911172795, 30.302921582234557)]"
48,"(26.583703804363473, 31.045286736116363)","(31.132388346230194, 62.36409981540881)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (85.44448868598234, 36.82775493149251), (66.51172848328157, 36.91082030796673), (16.794516770154274, 96.89463447621375), (16.761546915677773, 104.39185212989833), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (84.41519336312888, 33.63352052795576), (65.68774681333953, 33.71443604353334), (52.862347997562516, 36.861452206708876), (51.884374780936554, 33.65637919967717), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.90250973727712), (16.85229163515607, 89.39112388410543), (36.82838745608832, 33.57984495176775), (18.69779174333732, 31.925080008051474), (1.254765970233465, 30.2995356921356)]"
49,"(26.936029111196152, 31.217086703841016)","(31.125061394182588, 63.77910183772121)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (74.72257892795558, 36.875462578779135), (16.794535850268595, 96.89215644636651), (16.76155717196149, 104.38889978537225), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (95.14931956799931, 33.494613472684264), (72.56129783522746, 33.68473755136004), (57.76104549239414, 36.8863538036891), (56.833651291759224, 33.68153790546503), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.90250973727712), (16.852292437413453, 89.39101969092783), (41.843920576426854, 33.60534046042804), (27.574954354768636, 33.41411455544894), (5.868426673569194, 30.293136717512386)]"
50,"(26.196062545208424, 31.213470490829067)","(30.017708781719385, 65.47012456265774)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (85.17282800188562, 36.830461506211975), (16.794535850268595, 96.89215644636651), (16.761565402122475, 104.38653067474472), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (81.20481089186168, 33.6473915996031), (64.53840426765935, 36.919317876359365), (64.01132460399961, 33.71802424255069), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.90250973727712), (16.852292437413453, 89.39101969092783), (47.16768623540378, 33.632402810572515), (32.42239239662185, 33.55744791390545), (6.740331673987288, 30.291927417927894)]"
51,"(26.737386793269003, 31.325938052876193)","(29.18180034334948, 67.14861068309284)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (16.794535850268595, 96.89215644636651), (16.76156757636804, 104.38590480262887), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (91.3662433564216, 33.546247815881415), (72.9936392132808, 36.882907773722714), (72.71568136628697, 33.684070507778884), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.902405238149015), (16.852292437413453, 89.39101969092783), (54.754515280672905, 33.6709690130054), (38.08608361326581, 33.58623821096831), (7.113460833237709, 30.29140990175695)]"
52,"(25.93859945432788, 31.210314427715346)","(27.786758972663375, 69.0877390102251)","[(8.501032351286526, 76.37842237968468), (8.461795301394783, 73.1784882566397), (16.794535850268595, 96.89215644636651), (16.761567930255357, 104.38580293363658), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (83.0328142619888, 36.83967687638378), (82.7474671047459, 33.64072625830883), (17.26880098135683, 46.343164975310046), (16.93, 56.40140511057612), (16.93, 63.902405238149015), (16.852292437413453, 89.39101969092783), (63.74680787334346, 33.71667962206161), (45.612814520841084, 33.62449891594892), (7.123576634315602, 30.291395871519672)]"
53,"(30.41804028035694, 31.48751995153741)","(30.7273550491019, 68.7232537818811)","[(12.130524021781637, 76.36626618748686), (8.461795301394783, 73.1784882566397), (16.794535850268595, 96.89215644636651), (16.761567930255357, 104.38580293363658), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (95.27161682186112, 36.69362670397824), (93.91406098827977, 33.51147323491884), (18.467572784955273, 42.143186750627315), (16.93, 55.05191283518257), (16.93, 63.902405238149015), (16.852292437413453, 89.39101969092783), (74.01833221962083, 33.67844215555613), (54.152547573006814, 33.66790902465804), (7.128196541389152, 30.29138946388157)]"
54,"(22.112745214657437, 30.171646932200392)","(22.44617767723296, 72.89493156698204)","[(17.7050287719119, 76.34759559741465), (10.507456319588504, 73.17164331059412), (1.0600000000000005, 73.22614107883818), (16.794536884693272, 96.89202210046129), (16.761567930255357, 104.38580293363658), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (23.14949717861673, 37.78795912763259), (16.93, 51.23520635732726), (16.93, 62.92728894605176), (16.852292437413453, 89.39101969092783), (84.92426756412964, 33.63132097547904), (64.1250770763007, 33.71860248160785), (7.1283026801812595, 30.291389316671037)]"
55,"(17.287284672175954, 28.695966259652053)","(18.945416277137973, 75.36148989022826)","[(25.582831173418562, 76.32121061329477), (12.8160287921602, 76.36397023849516), (2.5604048329339015, 76.41631266500956), (1.0600000000000005, 73.22614107883818), (16.794536884693272, 96.89202210046129), (16.76156833887178, 104.38568531048084), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (31.662665603590902, 36.75368765344949), (17.32612450920994, 45.942707653970004), (16.93, 60.34550928449727), (16.852292437413453, 89.39101969092783), (74.88185058919272, 33.67471115924017), (7.1283026801812595, 30.291389316671037)]"
56,"(20.83573964888339, 29.415917594437392)","(21.969169059683807, 74.61615029256345)","[(35.131113621251096, 76.31), (17.15865132065943, 76.34942556973941), (4.9172487015606805, 76.40066556878631), (2.977340914322995, 73.21341184455221), (16.794536884693272, 96.89202210046129), (16.76156833887178, 104.38568531048084), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (42.73103753144551, 36.80995161693477), (20.76881877157928, 39.20623562544213), (16.93, 55.97629490583801), (16.852292437413453, 89.39101969092783), (87.56198637787475, 33.59817125052946), (7.1283026801812595, 30.291389316671037)]"
57,"(14.223776284027654, 28.830867615746804)","(19.825038913764416, 76.81103600854652)","[(42.19084232130083, 74.66676645135819), (23.18319335323216, 76.3292476777643), (6.5259323576584585, 76.38998551131844), (2.977340914322995, 73.21341184455221), (16.794536884693272, 96.89202210046129), (16.76156833887178, 104.38568531048084), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (55.829320147937864, 36.876534245315696), (28.55257704168619, 36.79702932257798), (16.93, 49.70343106013517), (16.852292437413453, 89.39101969092783), (7.1283026801812595, 30.291389316671037)]"
58,"(18.589967403421362, 29.198745355983895)","(22.66694810337936, 76.25676528549748)","[(49.55353740960892, 71.29938800113915), (31.796448093389678, 76.31), (6.96441948463033, 76.38707439346302), (2.977340914322995, 73.21341184455221), (16.794536884693272, 96.89202210046129), (16.76156833887178, 104.38568531048084), (13.559230493356326, 105.04568376862272), (16.732561660564272, 112.73546485185646), (13.532846161482986, 112.63683296760915), (70.37218767283375, 36.89419632102607), (36.89849156685061, 36.78030297887696), (17.413509649111422, 45.33224245127797), (16.852292437413453, 89.39101969092783), (7.1283026801812595, 30.291389316671037)]"
