TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates
1054,"(23.59906991103604, 23.684345380549477)","(34.917987674913846, 71.91905077861333)"
1055,"(24.698395168368897, 23.68080411531327)","(36.25091246208284, 71.92080138620064)"
1056,"(26.394856456457187, 23.65951264418628)","(37.5442736768523, 71.89103288677535)"
1057,"(25.348348674851202, 22.44556414701099)","(35.62074337384827, 73.86571894762696)"
1058,"(26.908693093391136, 22.410210957877414)","(36.41845340643873, 73.81975192099685)"
1059,"(23.960453814053647, 20.700452526553345)","(33.32495846080617, 76.0183766186933)"
1060,"(23.960350204293803, 20.656210932541384)","(33.32508470850516, 75.99135425571885)"
1061,"(23.96030940564596, 20.639899304789456)","(33.32513357999, 75.98160330233317)"
1062,"(23.960292556842308, 20.6287172898257)","(33.32515657529757, 75.97516922354913)"
1063,"(23.96028441665796, 20.623133855348126)","(33.325167683157815, 75.97199026083372)"
1064,"(24.462744909738433, 22.601282171555106)","(31.640748723849747, 73.57416986252767)"
1065,"(24.13504776402938, 22.564482872042934)","(31.959445990279477, 73.59226746752037)"
1066,"(23.636110351972043, 22.421723800178057)","(32.48405658073264, 73.66434263647474)"
1068,"(23.32449752362298, 23.61550377291483)","(32.45447159033766, 71.64717173361498)"
1069,"(23.1269725873372, 23.47917586490423)","(33.63384173983664, 71.72532999164068)"
1070,"(23.570452526357357, 23.456384423294335)","(34.95800180511537, 71.73864552843428)"
1071,"(24.9749591414464, 23.45453500696067)","(36.417247089539345, 71.7397240763169)"
1072,"(27.143555413574397, 23.46252508460009)","(37.89826810364614, 71.73506614203488)"
1073,"(25.36791301524431, 22.2672234062693)","(35.634510160198744, 73.74449706768394)"
1074,"(26.621811856845923, 22.276628204159056)","(36.28560460534516, 73.73955147548983)"
1075,"(23.960279986191768, 20.621648860353247)","(33.32517257692465, 75.97115340084487)"
1076,"(23.960279986191768, 20.621648860353247)","(33.32517257692465, 75.97115340084487)"
1077,"(23.960279986191768, 20.621648860353247)","(33.32517257692465, 75.97115340084487)"
1078,"(23.960279986191768, 20.621648860353247)","(33.32517257692465, 75.97115340084487)"
1079,"(23.960279986191768, 20.621648860353247)","(33.32517257692465, 75.97115340084487)"
1080,"(24.54266053020644, 22.75294114963826)","(31.589507545394426, 73.44569670482498)"
1081,"(24.337907241909022, 23.067773214415993)","(31.905675298434414, 73.16534921005639)"
1082,"(24.3741806634235, 23.48822322205949)","(32.63023340168149, 72.76467965533509)"
1137,"(27.81939506867604, 22.69036120120391)","(39.004670653881945, 70.56356511946572)"
1139,"(25.601461915212187, 21.77752268710059)","(35.53646418176495, 74.6201841418616)"
1140,"(25.53135314882703, 21.200444188726575)","(35.833838359565746, 74.19532208040062)"
